model,n,seeds,map50_mean,map50_sd,map50_95_mean,map50_95_sd,apsmall_mean,apsmall_sd
YOLO11s,3,0;42;123,39.4333,0.1528,23.5667,0.1155,23.7667,0.1528
PDFN,3,0;42;123,42.6333,0.1528,25.8000,0.1000,26.2333,0.1528
